frame_idx,timestamp_ms,bone_name,start_joint,end_joint,confidence,human_delta_deg,applied_angle_deg,target_x,target_y,target_z
85,2833.0,leg_joint_R_2,right_knee,right_ankle,0.8805,81.1249,81.1249,-0.73487,-0.39199,-0.55346
85,2833.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9949,83.3935,83.3935,0.81292,0.1948,0.54883
90,3000.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.7491,133.4052,133.4052,-0.98316,-0.18275,0.00117
90,3000.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.5437,145.2055,145.2055,-0.29083,-0.95677,0.00245
90,3000.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.2585,77.1669,77.1669,-0.98632,0.16453,0.00985
90,3000.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.1947,27.4597,27.4597,-0.52411,0.8238,-0.21602
90,3000.0,leg_joint_L_1,left_hip,left_knee,0.9177,47.8601,47.8601,-0.80887,-0.37723,-0.45102
90,3000.0,leg_joint_L_2,left_knee,left_ankle,0.9177,86.9525,86.9525,-0.60432,-0.54826,-0.57811
90,3000.0,leg_joint_R_1,right_hip,right_knee,0.879,70.6631,70.6631,-0.7539,-0.44377,-0.48445
90,3000.0,leg_joint_R_2,right_knee,right_ankle,0.879,92.3326,92.3326,-0.73883,-0.53107,-0.41485
90,3000.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9969,90.1941,90.1941,0.83348,0.28578,0.4729
95,3166.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.7049,144.6267,144.6267,-0.91627,-0.40027,-0.01544
95,3166.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.3512,110.333,110.333,-0.60934,-0.48242,-0.62926
95,3166.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.2635,77.3845,77.3845,-0.96138,0.04131,0.27212
95,3166.0,leg_joint_L_1,left_hip,left_knee,0.8976,46.2413,46.2413,-0.79656,-0.4409,-0.41364
95,3166.0,leg_joint_L_2,left_knee,left_ankle,0.8976,82.9882,82.9882,-0.57599,-0.51124,-0.63786
95,3166.0,leg_joint_R_1,right_hip,right_knee,0.622,73.1104,73.1104,-0.72664,-0.60308,-0.32907
95,3166.0,leg_joint_R_2,right_knee,right_ankle,0.622,100.0188,100.0188,-0.66574,-0.65346,-0.36026
95,3166.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9915,91.811,91.811,0.84013,0.30189,0.4506
100,3333.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.4906,158.0497,158.0497,-0.75734,-0.64988,-0.06398
100,3333.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.2762,79.7317,79.7317,-0.8084,0.00487,-0.58862
100,3333.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.3041,85.0666,85.0666,-0.86882,-0.18426,0.45957
100,3333.0,leg_joint_L_1,left_hip,left_knee,0.8466,44.0054,44.0054,-0.76371,-0.54617,-0.34416
100,3333.0,leg_joint_L_2,left_knee,left_ankle,0.8466,91.438,91.438,-0.59231,-0.60889,-0.52765
100,3333.0,leg_joint_R_1,right_hip,right_knee,0.5569,72.5244,72.5244,-0.65164,-0.71955,-0.24003
100,3333.0,leg_joint_R_2,right_knee,right_ankle,0.5569,104.5732,104.5732,-0.58501,-0.73438,-0.34417
100,3333.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9903,94.0392,94.0392,0.8128,0.37091,0.44921
105,3500.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.3491,160.7611,160.7611,-0.64292,-0.76378,-0.05742
105,3500.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.1972,79.7317,79.7317,-0.8084,0.00487,-0.58862
105,3500.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.4868,107.8221,107.8221,-0.54321,-0.63395,0.55048
105,3500.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.2942,27.4597,27.4597,-0.52411,0.8238,-0.21602
